"","Variable","Weight"
"1","complete_play_Total",4.58859648229197
"2","Puck_Recovery",3.37532561289681
"3","Goals",3.26316205663069
"4","zone_entry_Carried",3.17904996149031
"5","zone_entry_Dumped",2.88150172136826
"6","shot_dest_Missed",2.75890882955835
"7","shot_type_Wrist_Shot",2.75033554646486
"8","dumps_Lost",2.55712625066015
"9","shot_dest_On_Net",2.53818194896513
"10","shot_traffic_TRUE",2.32306513102116
"11","Take_Away",2.30994145866666
"12","shot_type_Snapshot",2.29767945718932
"13","faceoffs_Won",2.17514405289627
"14","shot_one_timer_TRUE",1.62791213113616
"15","dumps_Retained",1.44797282446465
"16","penalty_Taken",1.25510340289577
"17","shot_type_Slapshot",1.05553941369419
"18","zone_entry_Played",0.991184898741225
"19","shot_type_Deflection",0.950167100144659
"20","shot_type_Fan",0.857766635426907
"21","shot_type_Wrap_Around",0.723773181704832
