"","Variable","Weight"
"1","Take_Away",15.8495983511734
"2","complete_play_Total",15.5967164876607
"3","shot_type_Slapshot",11.4876312476064
"4","Goals",9.07299948021067
"5","faceoffs_Won",8.05868623425681
"6","penalty_Taken",6.82772878755638
"7","shot_dest_Missed",6.23436806566957
"8","shot_dest_On_Net",5.89814521586684
"9","dumps_Lost",5.28617544911302
"10","shot_type_Wrist_Shot",3.95580506287267
"11","dumps_Retained",2.51026798266528
"12","zone_entry_Played",2.15353900065573
"13","shot_traffic_FALSE",1.68719341097362
"14","zone_entry_Dumped",1.60880326446629
"15","shot_type_Snapshot",1.03369150590909
"16","Puck_Recovery",0.958870952470358
"17","shot_type_Fan",0.882115147259764
"18","shot_one_timer_TRUE",0.857304446406637
"19","zone_entry_Carried",0.0403599072068488
